Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AMST,460H,1,14035,RISING WATERS,Lecture,3,Venable,G311,TuTh,11:00 - 12:15," WILLIS,RACHEL","Public Service Flag - APPLES, SS- Social and Behavioral Science, CI- Communication Intensive, E3- Service Learning, IDEA-Creative Expression, Pr Production, IDEA - Global Understanding and Engagement, IDEA - High-Impact: Service Learning"
AMST,692H,1,3546,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,"Kotch,Seth M. ",
AMST,692H,2,3168,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,"Alexander,Kelly ",
AMST,692H,3,3000,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,692H,4,2957,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,"E6- Mentored Research, IDEA - Research and Discovery, Research Intensive"
AMST,692H,5,12369,AM STUDIES HONORS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,701,1,4257,INTERDISC  RESEARCH,Lecture,3,Greenlaw,526B,M,15:35 - 18:35,"MARR,TIMOTHY W ",
AMST,795,1,6182,DIGITAL HUMANITIES FIELD EXP ,Lecture,1 - 3,TBA,TBA,TBA,TBA,"ANDERSON,DANIEL R ",
AMST,895,1,4425,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,895,2,4444,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,895,4,5323,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,900,1,4882,DIRECTED STUDIES,Lecture,0.5 - 15,TBA,TBA,TBA,TBA,"Randolph,Antonia Maria ",
AMST,900,2,12072,DIRECTED STUDIES,Lecture,0.5 - 15,TBA,TBA,TBA,TBA,Staff ,
AMST,900,3,12112,DIRECTED STUDIES,Lecture,0.5 - 15,,TBA,,,,
AMST,902,1,9906,PH.D. RESEARCH SEMINAR,Lecture,3,Greenlaw,526A,M,15:35 - 18:35,"COBB,DANIEL M ",
AMST,992,1,4307,MASTER'S (NON-THESIS),Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,992,2,5648,MASTER'S (NON-THESIS),Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,993,1,10665,MASTER'S RESEARCH AND THESIS ,Lecture,3,,TBA,,,,
AMST,993,3,11980,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
AMST,994,1,4308,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"HOLLAND,SHARON PATRICIA ",
AMST,994,2,4309,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"COBB,DANIEL M ",
AMST,994,3,4310,DOCT RESEARCH AND DISSERTATION,Lecture,3,,TBA,,,,
